arguments,description,descriptivename,hostname,md5,name,path,pathcertificateissuer,pathcertificatesubject,pathsignaturedescription,pathsignatureexists,pathsignatureverified,servicedll,type
C:\Windows\System32\svchost.exe -k NetworkService,Provides Telephony API (TAPI) support for programs that control telephony devices on the local computer and  through the LAN  on servers that are also running the service.,Telephony,SE0003VPD,7dca8a84603af3849fcf7fc83e42893e,TapiSrv,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\tapisrv.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\System32\VBoxService.exe,Manages VM runtime information  time synchronization  remote sysprep execution and miscellaneous utilities for guest operating systems.,VirtualBox Guest Additions Service,SE0003VPD,40e859f6d1da98e4ff371a17711d6087,VBoxService,C:\Windows\System32\VBoxService.exe,VeriSign Class 3 Code Signing 2010 CA,Oracle Corporation,The file is signed and the signature was verified.,true,true,,SERVICE_WIN32_OWN_PROCESS
system32\drivers\rdprefmp.sys,RDP Reflector Driver Miniport,Reflector Display Driver used to gain access to graphics data,SE0003VPD,4c9bb311e813f7c1296790cb311566e1,RDPREFMP,C:\Windows\System32\drivers\RDPREFMP.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
system32\DRIVERS\raspptp.sys,WAN Miniport (PPTP),WAN Miniport (PPTP),SE0003VPD,92c919ada5d6bc12ffc51fd75700b4dc,PptpMiniport,C:\Windows\System32\drivers\raspptp.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\System32\svchost.exe -k secsvcs,Protection against spyware and potentially unwanted software,Windows Defender,SE0003VPD,7dca8a84603af3849fcf7fc83e42893e,WinDefend,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Program Files\Windows Defender\MpSvc.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\system32\svchost.exe -k netsvcs,Enables starting processes under alternate credentials. If this service is stopped  this type of logon access will be unavailable. If this service is disabled  any services that explicitly depend on it will fail to start.,Secondary Logon,SE0003VPD,7dca8a84603af3849fcf7fc83e42893e,seclogon,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\seclogon.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,Publishes this computer and resources attached to this computer so they can be discovered over the network.  If this service is stopped  network resources will no longer be published and they will not be discovered by other computers on the network.,Function Discovery Resource Publication,SE0003VPD,7dca8a84603af3849fcf7fc83e42893e,FDResPub,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\FDResPub.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\System32\svchost.exe -k LocalServiceAndNoImpersonation,Enables access to the Trusted Platform Module (TPM)  which provides hardware-based cryptographic services to system components and applications.  If this service is stopped or disabled  applications will be unable to use keys protected by the TPM.,TPM Base Services,SE0003VPD,7dca8a84603af3849fcf7fc83e42893e,TBS,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\tbssvc.dll,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\system32\drivers\elxstor.sys,,elxstor,SE0003VPD,b6400ffa5519645bb29e4f67d306bd93,elxstor,C:\Windows\System32\drivers\elxstor.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
system32\DRIVERS\mrxsmb10.sys,Implements the SMB 1.x (CIFS) protocol. This protocol provides connectivity to network resources on pre-Windows Vista servers,SMB 1.x MiniRedirector,SE0003VPD,266cd0a3f86a277b3a1102253a3abb6c,mrxsmb10,C:\Windows\System32\drivers\mrxsmb10.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
system32\DRIVERS\umbus.sys,,UMBus Enumerator Driver,SE0003VPD,45542d9e416b6c1da88ea80fdbdd5a84,umbus,C:\Windows\System32\drivers\umbus.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\svchost.exe -k RPCSS,Resolves RPC interfaces identifiers to transport endpoints. If this service is stopped or disabled  programs using Remote Procedure Call (RPC) services will not function properly.,RPC Endpoint Mapper,SE0003VPD,7dca8a84603af3849fcf7fc83e42893e,RpcEptMapper,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\RpcEpMap.dll,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\system32\drivers\adp94xx.sys,,adp94xx,SE0003VPD,a052b6f622a49330bf96e677d6e4c829,adp94xx,C:\Windows\System32\drivers\adp94xx.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,Allows UPnP devices to be hosted on this computer. If this service is stopped  any hosted UPnP devices will stop functioning and no additional hosted devices can be added. If this service is disabled  any services that explicitly depend on it will fail to start.,UPnP Device Host,SE0003VPD,7dca8a84603af3849fcf7fc83e42893e,upnphost,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\upnphost.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,Determines and verifies the identity of an application. Disabling this service will prevent AppLocker from being enforced.,Application Identity,SE0003VPD,7dca8a84603af3849fcf7fc83e42893e,AppIDSvc,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\appidsvc.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\system32\lsass.exe,Maintains a secure channel between this computer and the domain controller for authenticating users and services. If this service is stopped  the computer may not authenticate users and services and the domain controller cannot register DNS records. If this service is disabled  any services that explicitly depend on it will fail to start.,Netlogon,SE0003VPD,63d8919bd82ff4caa2fbb33123905320,Netlogon,C:\Windows\System32\lsass.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_WIN32_SHARE_PROCESS
system32\DRIVERS\AgileVpn.sys,WAN Miniport (IKEv2),WAN Miniport (IKEv2),SE0003VPD,9ddeabb4a72b418e8e6fa1d03668e7ec,RasAgileVpn,C:\Windows\System32\drivers\agilevpn.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe -NetMsmqActivator,Receives activation requests over the net.msmq and msmq.formatname protocols and passes them to the Windows Process Activation Service.,Net.Msmq Listener Adapter,SE0003VPD,69398e620e102e3b31ee4678c368dd74,NetMsmqActivator,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe,Microsoft Code Signing PCA,Microsoft Corporation,The file is signed and the signature was verified.,true,true,,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\system32\drivers\fltmgr.sys,File System Filter Manager Driver,FltMgr,SE0003VPD,b41c95108cc29eb00973b59ed2027e1b,FltMgr,C:\Windows\System32\drivers\fltMgr.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
system32\DRIVERS\ndisuio.sys,,NDIS Usermode I/O Protocol,SE0003VPD,1bec90c9221a0efbbab10d36a3a6fbc6,Ndisuio,C:\Windows\System32\drivers\ndisuio.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\Microsoft.NET\Framework64\v2.0.50727\mscorsvw.exe,Microsoft .NET Framework NGEN,Microsoft .NET Framework NGEN v2.0.50727_X64,SE0003VPD,852ffd9136e2f6303c4f1f1602d85af1,clr_optimization_v2.0.50727_64,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\mscorsvw.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_WIN32_OWN_PROCESS
system32\DRIVERS\i8042prt.sys,,i8042 Keyboard and PS/2 Mouse Port Driver,SE0003VPD,f3973051caf4022daebc301b48ddfa5d,i8042prt,C:\Windows\System32\drivers\i8042prt.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\terminpt.sys,,Microsoft Remote Desktop Input Driver,SE0003VPD,192d2a3ed6594f635f84656911e8827f,terminpt,C:\Windows\System32\drivers\terminpt.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
system32\DRIVERS\VBoxMouse.sys,,VirtualBox Guest Mouse Service,SE0003VPD,b9f8e2d411a3c94565f82e0c3fccff34,VBoxMouse,C:\Windows\System32\drivers\VBoxMouse.sys,VeriSign Class 3 Code Signing 2010 CA,Oracle Corporation,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,Optimizes performance of applications by caching commonly used font data. Applications will start this service if it is not already running. It can be disabled  though doing so will degrade application performance.,Windows Font Cache Service,SE0003VPD,7dca8a84603af3849fcf7fc83e42893e,FontCache,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\FntCache.dll,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\system32\drivers\bxvbda.sys,,Broadcom NetXtreme II VBD,SE0003VPD,ca1ca8a166500ffd071a63de4685ad3e,b06bdrv,C:\Windows\System32\drivers\bxvbda.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\svchost.exe -k netsvcs,Monitors system events and notifies subscribers to COM+ Event System of these events.,System Event Notification Service,SE0003VPD,7dca8a84603af3849fcf7fc83e42893e,SENS,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\Sens.dll,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\system32\drivers\luafv.sys,Virtualizes file write failures to per-user locations.,UAC File Virtualization,SE0003VPD,10754586dc88cd0f5b67395b347f988a,luafv,C:\Windows\System32\drivers\luafv.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
system32\DRIVERS\cdfs.sys,ISO9660/Joliet File System Reader for CD/DVDs. (Core) (All pieces),CD/DVD File System Reader,SE0003VPD,4ffb2cfa1c5b2f63d9eeee10d3f3d13c,cdfs,C:\Windows\System32\drivers\cdfs.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
C:\Windows\system32\svchost.exe -k LocalService,Supports System Event Notification Service (SENS)  which provides automatic distribution of events to subscribing Component Object Model (COM) components. If the service is stopped  SENS will close and will not be able to provide logon and logoff notifications. If this service is disabled  any services that explicitly depend on it will fail to start.,COM+ Event System,SE0003VPD,7dca8a84603af3849fcf7fc83e42893e,EventSystem,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\es.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\System32\snmptrap.exe,Receives trap messages generated by local or remote Simple Network Management Protocol (SNMP) agents and forwards the messages to SNMP management programs running on this computer. If this service is stopped  SNMP-based programs on this computer will not receive SNMP trap messages. If this service is disabled  any services that explicitly depend on it will fail to start.,SNMP Trap,SE0003VPD,00a9f6aa3a5c7d9a816fb44331c49b6a,SNMPTRAP,C:\Windows\System32\snmptrap.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_WIN32_OWN_PROCESS
C:\Windows\ehome\ehsched.exe,Starts and stops recording of TV programs within Windows Media Center,Windows Media Center Scheduler Service,SE0003VPD,76fafead98566526bc5f634e8802b05b,ehSched,C:\Windows\ehome\ehsched.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_WIN32_OWN_PROCESS
\SystemRoot\system32\drivers\sffp_mmc.sys,,SFF Storage Protocol Driver for MMC,SE0003VPD,1ffe01df94c564d847dc54a85bdb7cf1,sffp_mmc,C:\Windows\System32\drivers\sffp_mmc.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\svchost.exe -k netsvcs,Allows the system to be configured to lock the user desktop upon smart card removal.,Smart Card Removal Policy,SE0003VPD,7dca8a84603af3849fcf7fc83e42893e,SCPolicySvc,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\certprop.dll,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\system32\drivers\amdsata.sys,,amdsata,SE0003VPD,cf2060faeb0a8c34f383c1eb78016c9c,amdsata,C:\Windows\System32\drivers\amdsata.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\vmbus.sys,,vmbus,SN0002LNO,65aeaaf0ddb4a3d44ea6161740943aae,vmbus,C:\Windows\System32\drivers\vmbus.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork,Performance Logs and Alerts Collects performance data from local or remote computers based on preconfigured schedule parameters  then writes the data to a log or triggers an alert. If this service is stopped  performance information will not be collected. If this service is disabled  any services that explicitly depend on it will fail to start.,Performance Logs &amp; Alerts,SN0002LNO,f30f7fd5765cbe25854fbd8f51b4566b,pla,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\pla.dll,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\System32\drivers\rdyboost.sys,ReadyBoost,ReadyBoost,SN0002LNO,1790e354f48f02069b09c836347c91cf,rdyboost,C:\Windows\System32\drivers\rdyboost.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\hidir.sys,,Microsoft Infrared HID Driver,SN0002LNO,4e47a374eb6603ea25cd9f466fcfa40f,HidIr,C:\Windows\System32\drivers\hidir.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
system32\drivers\aswbidsdrivera.sys,,aswbidsdriver,SN0002LNO,ec1e66743407192122d7e2d1a2ab205b,aswbidsdriver,C:\Windows\System32\drivers\aswbidsdrivera.sys,DigiCert High Assurance Code Signing CA-1,AVAST Software s.r.o.,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
system32\drivers\tsusbhub.sys,,tsusbhub,SN0002LNO,157e9f77bcd0addf8d0c71d94df34842,tsusbhub,C:\Windows\System32\drivers\tsusbhub.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\ql40xx.sys,,ql40xx,SN0002LNO,479ed0be7a357feb632c0ccd473be5fc,ql40xx,C:\Windows\System32\drivers\ql40xx.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted,This service provides support for the Program Compatibility Assistant (PCA).  PCA monitors programs installed and run by the user and detects known compatibility problems. If this service is stopped  PCA will not function properly.,Program Compatibility Assistant Service,SN0002LNO,f30f7fd5765cbe25854fbd8f51b4566b,PcaSvc,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\pcasvc.dll,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\system32\drivers\sffp_sd.sys,,SFF Storage Protocol Driver for SDBus,SN0002LNO,b8e0357c914f1a7582e05a218f43001a,sffp_sd,C:\Windows\System32\drivers\sffp_sd.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\System32\svchost.exe -k LocalServicePeerNet,Enables serverless peer name resolution over the Internet using the Peer Name Resolution Protocol (PNRP). If disabled  some peer-to-peer and collaborative applications  such as Remote Assistance  may not function.,Peer Name Resolution Protocol,SN0002LNO,f30f7fd5765cbe25854fbd8f51b4566b,PNRPsvc,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\pnrpsvc.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\system32\msiexec.exe /V,Adds  modifies  and removes applications provided as a Windows Installer (*.msi) package. If this service is disabled  any services that explicitly depend on it will fail to start.,Windows Installer,SN0002LNO,5af7eab14168e139e160ada832d49c9c,msiserver,C:\Windows\System32\msiexec.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_WIN32_OWN_PROCESS
C:\Windows\system32\svchost.exe -k LocalService,Provides ordered execution for a group of threads within a specific period of time.,Thread Ordering Server,SN0002LNO,f30f7fd5765cbe25854fbd8f51b4566b,THREADORDER,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\mmcss.dll,SERVICE_WIN32_SHARE_PROCESS
system32\DRIVERS\rdbss.sys,Provides the framework for network mini-redirectors,Redirected Buffering Sub Sysytem,SN0002LNO,7883f139b7549deef6599faef874ba2a,rdbss,C:\Windows\System32\drivers\rdbss.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,Allows the redirection of Printers/Drives/Ports for RDP connections,Remote Desktop Services UserMode Port Redirector,SN0002LNO,f30f7fd5765cbe25854fbd8f51b4566b,UmRdpService,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\umrdp.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\system32\lsass.exe,The startup of this service signals other services that the Security Accounts Manager (SAM) is ready to accept requests.  Disabling this service will prevent other services in the system from being notified when the SAM is ready  which may in turn cause those services to fail to start correctly. This service should not be disabled.,Security Accounts Manager,SN0002LNO,59ce551aa5789c1df7a97ace4e2e9980,SamSs,C:\Windows\System32\lsass.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\system32\drivers\vmstorfl.sys,,Disk Virtual Machine Bus Acceleration Filter Driver,SN0002LNO,8815446e24af0edee2b3d8223573d85b,storflt,C:\Windows\System32\drivers\vmstorfl.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\svchost.exe -k netsvcs,The service is responsible for applying settings configured by administrators for the computer and users through the Group Policy component. If the service is stopped or disabled  the settings will not be applied and applications and components will not be manageable through Group Policy. Any components or applications that depend on the Group Policy component might not be functional if the service is stopped or disabled.,Group Policy Client,SN0002LNO,f30f7fd5765cbe25854fbd8f51b4566b,gpsvc,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\gpsvc.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Program Files\AVAST Software\Avast\x64\aswidsagenta.exe,Provides Identity Protection Against Cyber Crime.,aswbIDSAgent,SN0002LNO,56a0a43fe02474d4a3d49324993a38fa,aswbIDSAgent,C:\Program Files\AVAST Software\Avast\x64\aswidsagenta.exe,DigiCert High Assurance Code Signing CA-1,AVAST Software s.r.o.,The file is signed and the signature was verified.,true,true,,SERVICE_WIN32_OWN_PROCESS
system32\drivers\aswRdr2.sys,,aswRdr,SN0002LNO,ab4227ada6858be71188b0598d0b06f3,aswRdr,C:\Windows\System32\drivers\aswRdr2.sys,DigiCert High Assurance Code Signing CA-1,AVAST Software s.r.o.,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\sffp_mmc.sys,,SFF Storage Protocol Driver for MMC,SN0002LNO,99e633d206af5686f0d76e496c9104b8,sffp_mmc,C:\Windows\System32\drivers\sffp_mmc.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\aswbidsha.sys,,aswbidsh,SN0002LNO,1383e34ec411033046c63aa4f8f4e93d,aswbidsh,C:\Windows\System32\drivers\aswbidsha.sys,DigiCert High Assurance Code Signing CA-1,AVAST Software s.r.o.,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
system32\DRIVERS\umbus.sys,,UMBus Enumerator Driver,SN0002LNO,19b9f263eb94dc57d4334fea54022bb5,umbus,C:\Windows\System32\drivers\umbus.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\System32\alg.exe,Provides support for 3rd party protocol plug-ins for Internet Connection Sharing,Application Layer Gateway Service,SN0002LNO,0fa862ac27935d66132efbbdb0c88197,ALG,C:\Windows\System32\alg.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_WIN32_OWN_PROCESS
C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,Allows Media Center Extenders to locate and connect to the computer.,Media Center Extender Service,SN0002LNO,f30f7fd5765cbe25854fbd8f51b4566b,Mcx2Svc,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\Mcx2Svc.dll,SERVICE_WIN32_SHARE_PROCESS
system32\DRIVERS\AgileVpn.sys,WAN Miniport (IKEv2),WAN Miniport (IKEv2),SN0002LNO,01ce8e10cfafba705dc8315c888fc70b,RasAgileVpn,C:\Windows\System32\drivers\agilevpn.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
system32\drivers\tdpipe.sys,,TDPIPE,SN0002LNO,82a9ebbc1c40f3b1730dc1961e743bb4,TDPIPE,C:\Windows\System32\drivers\tdpipe.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
system32\DRIVERS\ndistapi.sys,Remote Access NDIS TAPI Driver,Remote Access NDIS TAPI Driver,SN0002LNO,2706117e0038a73425296ce6a8eb5b74,NdisTapi,C:\Windows\System32\drivers\ndistapi.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\svchost.exe -k wcssvc,The WcsPlugInService service hosts third-party Windows Color System color device model and gamut map model plug-in modules. These plug-in modules are vendor-specific extensions to the Windows Color System baseline color device and gamut map models. Stopping or disabling the WcsPlugInService service will disable this extensibility feature  and the Windows Color System will use its baseline model processing rather than the vendor's desired processing. This might result in inaccurate color rendering.,Windows Color System,SN0002LNO,f30f7fd5765cbe25854fbd8f51b4566b,WcsPlugInService,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\WcsPlugInService.dll,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\system32\drivers\usbccgp.sys,,Microsoft USB Generic Parent Driver,SN0002LNO,829f87dfe7bf59182bc58b6d155f794b,usbccgp,C:\Windows\System32\drivers\usbccgp.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
system32\DRIVERS\asyncmac.sys,RAS Asynchronous Media Driver,RAS Asynchronous Media Driver,SN0002LNO,6a896f075dfb8a2c9058660ad4d27b2f,AsyncMac,C:\Windows\System32\drivers\asyncmac.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\svchost.exe -k netsvcs,Supports file  print  and named-pipe sharing over the network for this computer. If this service is stopped  these functions will be unavailable. If this service is disabled  any services that explicitly depend on it will fail to start.,Server,SN0002LNO,f30f7fd5765cbe25854fbd8f51b4566b,LanmanServer,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\srvsvc.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\system32\svchost.exe -k netsvcs,Facilitates the running of interactive applications with additional administrative privileges.  If this service is stopped  users will be unable to launch applications with the additional administrative privileges they may require to perform desired user tasks.,Application Information,SN0002LNO,f30f7fd5765cbe25854fbd8f51b4566b,Appinfo,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\appinfo.dll,SERVICE_WIN32_SHARE_PROCESS
system32\drivers\wimmount.sys,WIM Image mount service driver,WIMMount,SN0002LNO,b343a68320040e749bcfd0accc5dcb7c,WIMMount,C:\Windows\System32\drivers\wimmount.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
\SystemRoot\System32\drivers\tcpip.sys,TCP/IP Protocol Driver,TCP/IP Protocol Driver,SN0002LNO,c1d4f9e54ee71f039c88800be2b6a796,Tcpip,C:\Windows\System32\drivers\tcpip.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
System32\drivers\discache.sys,Attribute Cache Indexer,System Attribute Cache,SN0002LNO,8ab2fa0fed5a7a77833c3a566a611976,discache,C:\Windows\System32\drivers\discache.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\svchost.exe -k DcomLaunch,Enables a computer to recognize and adapt to hardware changes with little or no user input. Stopping or disabling this service will result in system instability.,Plug and Play,SN0002LNO,f30f7fd5765cbe25854fbd8f51b4566b,PlugPlay,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\umpnpmgr.dll,SERVICE_WIN32_SHARE_PROCESS
